state,predicted_risk_score
Uttar Pradesh,1.0739262068915945
Manipur,0.8406295714405472
Meghalaya,0.7723529583673304
Bihar,0.7540044022084516
Assam,0.5243851986781005
Ladakh,0.49397751485986796
Dadra & Nagar Haveli,0.3692307692307688
Delhi,0.1754469550453761
West Bengal,0.17421649139242046
100000,0.06296296296296297
Arunachal Pradesh,0.006743016244608047
West  Bengal,-0.027272727272727282
Nagaland,-0.05908761825561459
Haryana,-0.11559941016441933
Dadra and Nagar Haveli and Daman and Diu,-0.19830706075533566
Orissa,-0.22928224203958658
Karnataka,-0.2737092518788051
Maharashtra,-0.2739510215684664
Jammu & Kashmir,-0.3297343550446996
Sikkim,-0.45118093643311497
Pondicherry,-0.5047442338648782
Daman and Diu,-0.5381666666666653
Gujarat,-0.541911394964969
Andaman and Nicobar Islands,-0.603352115626306
Lakshadweep,-0.6716518177163326
Punjab,-0.7582887910256639
Madhya Pradesh,-0.8440669049040217
Daman & Diu,-0.875
Mizoram,-1.0569307469000417
Dadra and Nagar Haveli,-1.273050530727451
Jharkhand,-1.4244363220778746
Rajasthan,-1.5554729573288082
Puducherry,-1.6623330439100723
Chandigarh,-2.0547190518619454
Andaman & Nicobar Islands,-2.1984126984126995
Goa,-2.7362203945661445
Uttarakhand,-3.577803154594573
Tripura,-4.686278284008761
Himachal Pradesh,-6.350537161931102
Telangana,-6.484934030035731
Chhattisgarh,-6.962457471116114
Andhra Pradesh,-7.450387138238938
Jammu and Kashmir,-10.531698081249594
Odisha,-21.210403831736684
Kerala,-28.16453504735334
Tamil Nadu,-32.2076030536561
